frame_id,device_timestamp_us,sdk_system_timestamp_us,host_receive_us,bytes,source_gap,soi,sender_accepts,trimmed_bytes,first_eoi_end,last_eoi_end
217,61545862360,1789006412271212,1789006412273390,74076,0,1,1,42979,42979,42979
218,61545895669,1789006412304237,1789006412305971,74076,0,1,1,42225,42225,42225
219,61545928977,1789006412337595,1789006412339010,74076,0,1,1,42949,42949,42949
220,61545962286,1789006412371767,1789006412374198,74076,0,1,1,42249,42249,42249
221,61545995595,1789006412404041,1789006412405792,74076,0,1,1,42426,42426,42426
222,61546028903,1789006412437463,1789006412439223,74076,0,1,1,42951,42951,42951
223,61546062212,1789006412470871,1789006412472565,74076,0,1,1,42157,42157,42157
224,61546095520,1789006412504091,1789006412505795,74076,0,1,1,42118,42118,42118
225,61546128829,1789006412537470,1789006412538767,74076,0,1,1,43110,43110,43110
226,61546162138,1789006412571232,1789006412573429,74076,0,1,1,43046,43046,43046
227,61546195446,1789006412604144,1789006412605563,74076,0,1,1,42997,42997,42997
228,61546228755,1789006412637319,1789006412638828,74076,0,1,1,43060,43060,43060
229,61546262063,1789006412670621,1789006412671964,74076,0,1,1,42929,42929,42929
230,61546295372,1789006412704215,1789006412705683,74076,0,1,1,42794,42794,42794
231,61546328681,1789006412737232,1789006412738562,74076,0,1,1,42252,42252,42252
232,61546361989,1789006412770517,1789006412771965,74076,0,1,1,42188,42188,42188
233,61546395298,1789006412804211,1789006412806040,74076,0,1,1,42141,42141,42141
234,61546428606,1789006412837164,1789006412838580,74076,0,1,1,42342,42342,42342
235,61546461915,1789006412870457,1789006412871880,74076,0,1,1,42108,42108,42108
236,61546495224,1789006412904209,1789006412905848,74076,0,1,1,42200,42200,42200
237,61546528532,1789006412937091,1789006412938466,74076,0,1,1,41991,41991,41991
238,61546561841,1789006412970367,1789006412971754,74076,0,1,1,42876,42876,42876
239,61546595149,1789006413004018,1789006413006305,74076,0,1,1,42347,42347,42347
240,61546628458,1789006413036972,1789006413038386,74076,0,1,1,42961,42961,42961
241,61546661767,1789006413070285,1789006413071705,74076,0,1,1,42894,42894,42894
242,61546695075,1789006413104130,1789006413106320,74076,0,1,1,42933,42933,42933
243,61546728384,1789006413136991,1789006413138412,74076,0,1,1,42922,42922,42922
244,61546761692,1789006413170221,1789006413171646,74076,0,1,1,42226,42226,42226
245,61546795001,1789006413203516,1789006413206069,74076,0,1,1,42101,42101,42101
246,61546828310,1789006413236789,1789006413238199,74076,0,1,1,42425,42425,42425
247,61546861618,1789006413270148,1789006413271539,74076,0,1,1,43198,43198,43198
248,61546894927,1789006413303463,1789006413305111,74076,0,1,1,43125,43125,43125
249,61546928235,1789006413336822,1789006413338273,74076,0,1,1,42443,42443,42443
250,61546961544,1789006413370061,1789006413371390,74076,0,1,1,42903,42903,42903
251,61546994853,1789006413403692,1789006413405737,74076,0,1,1,43012,43012,43012
252,61547028161,1789006413436715,1789006413438096,74076,0,1,1,42347,42347,42347
253,61547061470,1789006413470075,1789006413471441,74076,0,1,1,42340,42340,42340
254,61547094778,1789006413503424,1789006413504948,74076,0,1,1,42862,42862,42862
255,61547128087,1789006413536626,1789006413538189,74076,0,1,1,43084,43084,43084
256,61547161396,1789006413570269,1789006413571579,74076,0,1,1,42268,42268,42268
257,61547194704,1789006413603576,1789006413605730,74076,0,1,1,42017,42017,42017
258,61547228013,1789006413636539,1789006413638132,74076,0,1,1,42336,42336,42336
259,61547261321,1789006413669908,1789006413671237,74076,0,1,1,42252,42252,42252
260,61547294630,1789006413703155,1789006413704724,74076,0,1,1,42136,42136,42136
261,61547327939,1789006413736742,1789006413738207,74076,0,1,1,43067,43067,43067
262,61547361247,1789006413769835,1789006413771158,74076,0,1,1,42258,42258,42258
263,61547394556,1789006413803119,1789006413804669,74076,0,1,1,42269,42269,42269
264,61547427864,1789006413836888,1789006413838425,74076,0,1,1,43039,43039,43039
265,61547461173,1789006413869768,1789006413871115,74076,0,1,1,43096,43096,43096
266,61547494482,1789006413903006,1789006413905207,74076,0,1,1,42332,42332,42332
267,61547527790,1789006413936943,1789006413938578,74076,0,1,1,43327,43327,43327
268,61547561099,1789006413969685,1789006413971143,74076,0,1,1,43014,43014,43014
269,61547594407,1789006414003025,1789006414004343,74076,0,1,1,43166,43166,43166
270,61547627716,1789006414036552,1789006414038343,74076,0,1,1,43030,43030,43030
271,61547661025,1789006414069666,1789006414071071,74076,0,1,1,42488,42488,42488
272,61547694333,1789006414102923,1789006414104453,74076,0,1,1,42340,42340,42340
273,61547727642,1789006414136235,1789006414137734,74076,0,1,1,42488,42488,42488
274,61547760950,1789006414169536,1789006414171155,74076,0,1,1,43009,43009,43009
275,61547794259,1789006414202690,1789006414204302,74076,0,1,1,42368,42368,42368
276,61547827568,1789006414236085,1789006414238287,74076,0,1,1,42495,42495,42495
277,61547860876,1789006414269431,1789006414270733,74076,0,1,1,43019,43019,43019
278,61547894185,1789006414302679,1789006414304195,74076,0,1,1,42500,42500,42500
279,61547927493,1789006414336870,1789006414338376,74076,0,1,1,42470,42470,42470
280,61547960802,1789006414369398,1789006414370619,74076,0,1,1,42480,42480,42480
281,61547994111,1789006414402644,1789006414404190,74076,0,1,1,42433,42433,42433
282,61548027419,1789006414436092,1789006414438291,74076,0,1,1,43128,43128,43128
283,61548060728,1789006414469249,1789006414470860,74076,0,1,1,42490,42490,42490
284,61548094036,1789006414502624,1789006414504711,74076,0,1,1,42318,42318,42318
285,61548127345,1789006414536230,1789006414538210,74076,0,1,1,42408,42408,42408
286,61548160654,1789006414569228,1789006414570592,74076,0,1,1,43075,43075,43075
287,61548193962,1789006414602508,1789006414604163,74076,0,1,1,43223,43223,43223
288,61548227271,1789006414635852,1789006414638004,74076,0,1,1,42180,42180,42180
289,61548260579,1789006414669172,1789006414670554,74076,0,1,1,42988,42988,42988
290,61548293888,1789006414702344,1789006414703809,74076,0,1,1,42939,42939,42939
291,61548327197,1789006414736083,1789006414738120,74076,0,1,1,42348,42348,42348
292,61548360505,1789006414769095,1789006414770374,74076,0,1,1,43041,43041,43041
293,61548393814,1789006414802322,1789006414803771,74076,0,1,1,42588,42588,42588
294,61548427122,1789006414835667,1789006414837194,74076,0,1,1,42280,42280,42280
295,61548460431,1789006414869588,1789006414871186,74076,0,1,1,43032,43032,43032
296,61548493740,1789006414902306,1789006414903736,74076,0,1,1,43265,43265,43265
297,61548527048,1789006414936038,1789006414938211,74076,0,1,1,42599,42599,42599
298,61548560357,1789006414969190,1789006414971202,74076,0,1,1,42341,42341,42341
299,61548593665,1789006415002139,1789006415003766,74076,0,1,1,42393,42393,42393
300,61548626974,1789006415035712,1789006415037829,74076,0,1,1,43176,43176,43176
301,61548660283,1789006415069260,1789006415071147,74076,0,1,1,43062,43062,43062
302,61548693591,1789006415102101,1789006415103597,74076,0,1,1,42435,42435,42435
303,61548726900,1789006415135404,1789006415137045,74076,0,1,1,42420,42420,42420
304,61548760208,1789006415169141,1789006415171030,74076,0,1,1,42334,42334,42334
305,61548793517,1789006415202085,1789006415203576,74076,0,1,1,42132,42132,42132
306,61548826826,1789006415235383,1789006415236984,74076,0,1,1,42962,42962,42962
307,61548860134,1789006415269090,1789006415270933,74076,0,1,1,43064,43064,43064
308,61548893443,1789006415302040,1789006415303480,74076,0,1,1,42982,42982,42982
309,61548926751,1789006415335276,1789006415336768,74076,0,1,1,42369,42369,42369
310,61548960060,1789006415368653,1789006415370720,74076,0,1,1,43111,43111,43111
311,61548993369,1789006415401922,1789006415403281,74076,0,1,1,42874,42874,42874
312,61549026677,1789006415435252,1789006415436789,74076,0,1,1,42154,42154,42154
313,61549059986,1789006415468973,1789006415470526,74076,0,1,1,42857,42857,42857
314,61549093294,1789006415501846,1789006415503186,74076,0,1,1,42042,42042,42042
315,61549126603,1789006415535129,1789006415536602,74076,0,1,1,42250,42250,42250
316,61549159912,1789006415570498,1789006415571608,74076,0,1,1,42997,42997,42997
317,61549193220,1789006415601801,1789006415603299,74076,0,1,1,42414,42414,42414
318,61549226529,1789006415635209,1789006415636584,74076,0,1,1,43188,43188,43188
319,61549259837,1789006415668495,1789006415670657,74076,0,1,1,43096,43096,43096
320,61549293146,1789006415701706,1789006415703207,74076,0,1,1,43062,43062,43062
321,61549326455,1789006415735180,1789006415736565,74076,0,1,1,42264,42264,42264
322,61549359763,1789006415768546,1789006415769916,74076,0,1,1,42442,42442,42442
323,61549393072,1789006415801655,1789006415803135,74076,0,1,1,42252,42252,42252
324,61549426380,1789006415835159,1789006415836526,74076,0,1,1,43064,43064,43064
325,61549459689,1789006415868553,1789006415870574,74076,0,1,1,42913,42913,42913
326,61549492998,1789006415901596,1789006415902843,74076,0,1,1,43191,43191,43191
327,61549526306,1789006415935339,1789006415936358,74076,0,1,1,42941,42941,42941
328,61549559615,1789006415968587,1789006415970581,74076,0,1,1,43050,43050,43050
329,61549592923,1789006416001932,1789006416003446,74076,0,1,1,42271,42271,42271
330,61549626232,1789006416034769,1789006416036474,74076,0,1,1,42282,42282,42282
331,61549659541,1789006416068092,1789006416069451,74076,0,1,1,42936,42936,42936
332,61549692849,1789006416102758,1789006416106320,74076,0,1,1,42927,42927,42927
333,61549726158,1789006416134688,1789006416136187,74076,0,1,1,42173,42173,42173
334,61549759466,1789006416168054,1789006416170130,74076,0,1,1,42182,42182,42182
335,61549792775,1789006416201853,1789006416203694,74076,0,1,1,41893,41893,41893
336,61549826084,1789006416234514,1789006416236169,74076,0,1,1,42270,42270,42270
337,61549859392,1789006416268055,1789006416269418,74076,0,1,1,43005,43005,43005
338,61549892701,1789006416301320,1789006416303290,74076,0,1,1,43005,43005,43005
339,61549926009,1789006416334397,1789006416336262,74076,0,1,1,42434,42434,42434
340,61549959318,1789006416367906,1789006416369214,74076,0,1,1,42294,42294,42294
341,61549992627,1789006416401664,1789006416404448,74076,0,1,1,42199,42199,42199
342,61550025935,1789006416434679,1789006416436098,74076,0,1,1,42453,42453,42453
343,61550059244,1789006416467776,1789006416469181,74076,0,1,1,42954,42954,42954
344,61550092552,1789006416501423,1789006416503460,74076,0,1,1,43023,43023,43023
345,61550125861,1789006416534384,1789006416536164,74076,0,1,1,43115,43115,43115
346,61550159170,1789006416567715,1789006416569100,74076,0,1,1,43047,43047,43047
347,61550192478,1789006416601388,1789006416603436,74076,0,1,1,42260,42260,42260
348,61550225787,1789006416634291,1789006416635770,74076,0,1,1,42315,42315,42315
